Membership No  Date Joined  Active  
    36020      2016-11-8    no    
    40802      2017-4-20    no    
    65694      2018-3-11    no    
    37016      2019-3-1     no    
    25716      2020-2-9     no    
    89124      2019-10-12   no    
    11702      2018-8-3     no    
    99679      2020-8-18    no    
    39648      2016-11-14   no    
    11348      2016-2-2     no    
    13917      2020-1-22    no    
    38386      2018-2-24    no    
    45769      2015-8-8     no    
    25527      2016-11-9    no    
    30869      2019-1-22    no    
