Membership No  Date Joined  Active  
    31626      2020-6-1     no    
    91752      2015-4-18    no    
    15437      2020-8-17    no    
    87440      2017-1-12    no    
    77534      2020-9-9     no    
    88402      2015-2-10    no    
    16754      2017-2-15    no    
    29937      2019-5-18    no    
    93424      2019-6-18    no    
    92989      2017-6-5     no    
    73719      2018-5-25    no    
    98423      2016-12-17   no    
    31164      2019-9-15    no    
    66096      2017-7-9     no    
    74993      2016-2-17    no    
    15213      2017-2-9     no    
    93611      2015-12-16   no    
